,Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobSatisfaction,MaritalStatus,TravelTime,email
0,41,Yes,1102,Sales,1,2,Life Sciences,1,Female,94,2,4,Single,1.6,tq55l9bd@example.com
1,49,No,279,Research & Development,8,1,Life Sciences,2,Male,61,2,2,Married,1.6,qizp0d5j@example.com
2,37,Yes,1373,Research & Development,2,2,Other,4,Male,92,1,3,Single,1.6,b9n6g193@example.com
3,33,No,1392,Research & Development,3,4,Life Sciences,5,Female,56,1,3,Married,1.61,bges57o1@example.com
4,27,No,591,Research & Development,2,1,Medical,7,Male,40,1,2,Married,1.61,g6b2bzx9@example.com
5,32,No,1005,Research & Development,2,2,Life Sciences,8,Male,79,1,4,Single,1.61,be49ne62@example.com
6,59,No,1324,Research & Development,3,3,Medical,10,Female,81,1,1,Married,1.61,gn0xuzq6@example.com
7,30,No,1358,Research & Development,24,1,Life Sciences,11,Male,67,1,3,Divorced,1.61,k2w83259@example.com
8,38,No,216,Research & Development,23,3,Life Sciences,12,Male,44,3,3,Single,1.62,pyx6ravb@example.com
9,36,No,1299,Research & Development,27,3,Medical,13,Male,94,2,3,Married,1.62,g1gzmjhp@example.com
10,35,No,809,Research & Development,16,3,Medical,14,Male,84,1,2,Married,1.62,5bg6juso@example.com
11,29,No,153,Research & Development,15,2,Life Sciences,15,Female,49,2,3,Single,1.62,d38i4991@example.com
12,31,No,670,Research & Development,26,1,Life Sciences,16,Male,31,1,3,Divorced,1.62,7az0zukm@example.com
13,34,No,1346,Research & Development,19,2,Medical,18,Male,93,1,4,Divorced,1.63,bk9kmr34@example.com
14,28,Yes,103,Research & Development,24,3,Life Sciences,19,Male,50,1,3,Single,1.63,8vxxvqm6@example.com
15,29,No,1389,Research & Development,21,4,Life Sciences,20,Female,51,3,1,Divorced,1.63,8rcrm4cr@example.com
16,32,No,334,Research & Development,5,2,Life Sciences,21,Male,80,1,2,Divorced,1.63,n78v8azl@example.com
17,22,No,1123,Research & Development,16,2,Medical,22,Male,96,1,4,Divorced,1.64,gnpx573z@example.com
18,53,No,1219,Sales,2,4,Life Sciences,23,Female,78,4,4,Married,1.64,rz50y8jo@example.com
